"34-1-14","443 Broadway, Newburgh, NY, 12550","No_Match"
"36-4-6","93 Ann St, Newburgh, NY, 12550","Match","Exact","93 ANN ST, NEWBURGH, NY, 12550","-74.011185,41.49926","124494345","L","36","071","000501","2008"
"31-1-3","115 First St, Newburgh, NY, 12550","Match","Exact","115 1ST ST, NEWBURGH, NY, 12550","-74.01031,41.50216","124431459","L","36","071","000400","5007"
"36-4-5","95 Ann St, Newburgh, NY, 12550","Match","Exact","95 ANN ST, NEWBURGH, NY, 12550","-74.01127,41.499268","124494345","L","36","071","000501","2008"
"35-3-13","197 Ann St, Newburgh, NY, 12550","Match","Exact","197 ANN ST, NEWBURGH, NY, 12550","-74.015976,41.499573","124466586","L","36","071","000501","1000"
"39-4-8.2","23 E Parmenter St, Newburgh, NY, 12550","Match","Exact","23 E PARMENTER ST, NEWBURGH, NY, 12550","-74.0121,41.497746","636411588","L","36","071","000501","3007"
"31-1-4","113 First St, Newburgh, NY, 12550","Match","Exact","113 1ST ST, NEWBURGH, NY, 12550","-74.0102,41.502155","124431459","L","36","071","000400","5007"
"4-8-22.1","345 N Montgomery St, Newburgh, NY, 12550","Match","Exact","345 MONTGOMERY ST, NEWBURGH, NY, 12550","-74.00801,41.51524","124414106","L","36","071","000100","2003"
"34-1-27","26 Washington Ter, Newburgh, NY, 12550","Match","Exact","26 WASHINGTON TER, NEWBURGH, NY, 12550","-74.02804,41.499805","124413343","R","36","071","000300","4004"
"31-1-1","119 First St, Newburgh, NY, 12550","Match","Exact","119 1ST ST, NEWBURGH, NY, 12550","-74.01051,41.502174","124431459","L","36","071","000400","5007"
"35-3-14","16 William St, Newburgh, NY, 12550","Match","Exact","16 WILLIAM ST, NEWBURGH, NY, 12550","-74.01586,41.4995","124413616","R","36","071","000501","1000"
"31-1-2","117 First St, Newburgh, NY, 12550","Match","Exact","117 1ST ST, NEWBURGH, NY, 12550","-74.01041,41.502167","124431459","L","36","071","000400","5007"
"35-3-15","20 William St, Newburgh, NY, 12550","Match","Exact","20 WILLIAM ST, NEWBURGH, NY, 12550","-74.015884,41.49929","124413616","R","36","071","000501","1000"
"35-3-18","194 Washington St, Newburgh, NY, 12550","Match","Exact","194 WASHINGTON ST, NEWBURGH, NY, 12550","-74.015755,41.498695","124413619","R","36","071","000501","2006"
"7/12/10","284 Fullerton Ave, Newburgh, NY, 12550","Match","Exact","284 FULLERTON AVE, NEWBURGH, NY, 12550","-74.02532,41.511467","124413286","R","36","071","000300","1008"
"7/12/11","286 Fullerton Ave, Newburgh, NY, 12550","Match","Exact","286 FULLERTON AVE, NEWBURGH, NY, 12550","-74.02531,41.511562","124413286","R","36","071","000300","1008"
"22-2-29.2","42 Carter St, Newburgh, NY, 12550","Match","Exact","42 CARTER ST, NEWBURGH, NY, 12550","-74.01755,41.503544","124413596","R","36","071","000300","1013"
"36-5-20","25 Clark St, Newburgh, NY, 12550","Match","Exact","25 CLARK ST, NEWBURGH, NY, 12550","-74.01495,41.49918","124413689","L","36","071","000501","2007"
"36-5-21","23 Clark St, Newburgh, NY, 12550","Match","Exact","23 CLARK ST, NEWBURGH, NY, 12550","-74.014946,41.499233","124413689","L","36","071","000501","2007"
"28-2-21.2","316 Broadway, Newburgh, NY, 12550","No_Match"
"22-1-1","295 Third St, Newburgh, NY, 12550","Match","Exact","295 3RD ST, NEWBURGH, NY, 12550","-74.02047,41.5047","124413550","L","36","071","000300","1014"
"22-1-2","291 Third St, Newburgh, NY, 12550","Match","Exact","291 3RD ST, NEWBURGH, NY, 12550","-74.020294,41.50469","124413550","L","36","071","000300","1014"
"22-1-3","287 Third St, Newburgh, NY, 12550","Match","Exact","287 3RD ST, NEWBURGH, NY, 12550","-74.02012,41.504677","124413550","L","36","071","000300","1014"
"22-1-4","281 Third St, Newburgh, NY, 12550","Match","Exact","281 3RD ST, NEWBURGH, NY, 12550","-74.01985,41.504658","124413550","L","36","071","000300","1014"
"22-1-5","279 Third St, Newburgh, NY, 12550","Match","Exact","279 3RD ST, NEWBURGH, NY, 12550","-74.01977,41.50465","124413550","L","36","071","000300","1014"
"22-1-6","277 Third St, Newburgh, NY, 12550","Match","Exact","277 3RD ST, NEWBURGH, NY, 12550","-74.01968,41.504642","124413550","L","36","071","000300","1014"
"22-1-7","275 Third St, Newburgh, NY, 12550","Match","Exact","275 3RD ST, NEWBURGH, NY, 12550","-74.019585,41.50464","124413550","L","36","071","000300","1014"
"22-1-8","273 Third St, Newburgh, NY, 12550","Match","Exact","273 3RD ST, NEWBURGH, NY, 12550","-74.0195,41.50463","124413550","L","36","071","000300","1014"
"7/12/08","2 Gedney Way, Newburgh, NY, 12550","Match","Exact","2 GEDNEY WAY, NEWBURGH, NY, 12550","-74.02521,41.51114","124413294","L","36","071","000300","1008"
"7/12/09","282 Fullerton Ave, Newburgh, NY, 12550","Match","Exact","282 FULLERTON AVE, NEWBURGH, NY, 12550","-74.02533,41.511368","124413286","R","36","071","000300","1008"
"7/12/02","12 Gedney Way, Newburgh, NY, 12550","Match","Exact","12 GEDNEY WAY, NEWBURGH, NY, 12550","-74.02504,41.511124","124413294","L","36","071","000300","1008"
"7/12/03","10 Gedney Way, Newburgh, NY, 12550","Match","Exact","10 GEDNEY WAY, NEWBURGH, NY, 12550","-74.02507,41.511127","124413294","L","36","071","000300","1008"
"7/12/04","8 Gedney Way, Newburgh, NY, 12550","Match","Exact","8 GEDNEY WAY, NEWBURGH, NY, 12550","-74.02511,41.51113","124413294","L","36","071","000300","1008"
"34-1-40","50 Washington Ter, Newburgh, NY, 12550","Match","Exact","50 WASHINGTON TER, NEWBURGH, NY, 12550","-74.02889,41.5001","124413343","R","36","071","000300","4004"
"7/12/05","6 Gedney Way, Newburgh, NY, 12550","Match","Exact","6 GEDNEY WAY, NEWBURGH, NY, 12550","-74.02514,41.51113","124413294","L","36","071","000300","1008"
"44-7-11","117 Mill St, Newburgh, NY, 12550","Match","Exact","117 MILL ST, NEWBURGH, NY, 12550","-74.020256,41.495125","124413899","L","36","071","000502","1006"
"44-7-10","258 Renwick St, Newburgh, NY, 12550","Match","Exact","258 RENWICK ST, NEWBURGH, NY, 12550","-74.019066,41.49497","124413902","R","36","071","000502","1006"
"22-1-9","271 Third St, Newburgh, NY, 12550","Match","Exact","271 3RD ST, NEWBURGH, NY, 12550","-74.01941,41.504623","124413550","L","36","071","000300","1014"
"48-4-25","60 Liberty St Wh, Newburgh, NY, 12550","Match","Exact","60 LIBERTY ST, NEWBURGH, NY, 12550","-74.011604,41.491867","124414013","L","36","071","000502","2007"
"48-4-24","62 Liberty St Wh, Newburgh, NY, 12550","Match","Exact","62 LIBERTY ST, NEWBURGH, NY, 12550","-74.01161,41.491795","124414013","L","36","071","000502","2007"
