="11-2-16","170 SOUTH ST - 170 South St",""
="11-2-17","172 SOUTH ST - 172 South St",""
="11-2-18","174 SOUTH ST - 174 South St",""
="11-2-19","176 SOUTH ST - 176 South St",""
="11-2-20","194 SOUTH ST - 194 South St",""
="11-2-21","198 SOUTH ST - 198 South St",""
="11-2-22","200 SOUTH ST - 200 South St",""
="11-2-2.2","180 SOUTH ST - 180 South St",""
="11-2-23","184 N MILLER ST - 184 N Miller St",""
="11-2-24","186 N MILLER ST - 186 N Miller St",""
="11-2-25","188 N MILLER ST - 188 N Miller St",""
="11-2-26","190 N MILLER ST - 190 N Miller St",""
="11-2-27","192 N MILLER ST - 192 N Miller St",""
="11-2-28.2","204 N MILLER ST - 204 N Miller St",""
="11-2-29","206 N MILLER ST - 206 N Miller St",""
="11-2-30","206 N MILLER ST REAR - 206 N Miller St Rear",""
="11-2-31","208 N MILLER ST - 208 N Miller St",""
="11-2-3.1","41-43 GIDNEY AVE - 41-43 Gidney Ave",""
="11-2-32","210 N MILLER ST - 210 N Miller St",""
="11-2-5","39 GIDNEY AVE ALY - 39 Gidney Ave Aly",""
="11-2-6","204 LANDER ST - 204 Lander St",""
="11-2-7","202 LANDER ST - 202 Lander St",""
="11-2-8","200 LANDER ST - 200 Lander St",""
="11-2-9","198 LANDER ST - 198 Lander St",""
="11-3-1","197 LANDER ST - 197 Lander St",""
="11-3-10","185-187 CHAMBERS ST - 185-187 Chambers St",""
="11-3-11","183 CHAMBERS ST - 183 Chambers St",""
="11-3-12","144 SOUTH ST - 144 South St",""
="11-3-13","146 SOUTH ST - 146 South St",""
="11-3-14","148 SOUTH ST - 148 South St",""
="11-3-15","150 SOUTH ST - 150 South St",""
="11-3-16","152 SOUTH ST - 152 South St",""
="11-3-17","154 SOUTH ST - 154 South St",""
="11-3-18","156 SOUTH ST - 156 South St",""
="11-3-19","158 SOUTH ST - 158 South St",""
="11-3-20","160 SOUTH ST - 160 South St",""
="11-3-21","162 SOUTH ST - 162 South St",""
="11-3-22","189 LANDER ST - 189 Lander St",""
="11-3-2.2","25 GIDNEY AVE - 25 Gidney Ave",""
="11-3-23","191 LANDER ST - 191 Lander St",""
="11-3-24","193 LANDER ST - 193 Lander St",""
="11-3-25","195 LANDER ST - 195 Lander St",""
="11-3-26","187 LANDER ST - 187 Lander St",""
="11-3-4","199 CHAMBERS ST - 199 Chambers St",""
="11-3-5","197 CHAMBERS ST - 197 Chambers St",""
="11-3-6","195 CHAMBERS ST - 195 Chambers St",""
="11-3-7","193 CHAMBERS ST - 193 Chambers St",""
="11-3-8","191 CHAMBERS ST - 191 Chambers St",""
="11-3-9","189 CHAMBERS ST - 189 Chambers St",""
="11-5-1","200 CHAMBERS ST - 200 Chambers St",""
="11-5-10","309 LIBERTY ST - 309 Liberty St",""
="11-5-11","307 LIBERTY ST - 307 Liberty St",""
="11-5-12","305 LIBERTY ST - 305 Liberty St",""
="11-5-13","303 LIBERTY ST - 303 Liberty St",""
="11-5-14","132 SOUTH ST - 132 South St",""
="11-5-15","134 SOUTH ST - 134 South St",""
="11-5-16","136 SOUTH ST - 136 South St",""
="11-5-17","138 SOUTH ST - 138 South St",""
="11-5-18","140 SOUTH ST - 140 South St",""
="11-5-19","142 SOUTH ST - 142 South St",""
="11-5-2","9 GIDNEY AVE - 9 Gidney Ave",""
="11-5-20","184 CHAMBERS ST - 184 Chambers St",""
="11-5-21","186 CHAMBERS ST - 186 Chambers St",""
="11-5-22","188 CHAMBERS ST - 188 Chambers St",""
="11-5-23","190 CHAMBERS ST - 190 Chambers St",""
="11-5-24","194 CHAMBERS ST - 194 Chambers St",""
="11-5-3","7 GIDNEY AVE - 7 Gidney Ave",""
="11-5-4","5 GIDNEY AVE - 5 Gidney Ave",""
="11-5-5.1","321 LIBERTY ST - 321 Liberty St",""
="11-5-7","317 LIBERTY ST - 317 Liberty St",""
="11-5-8","315 LIBERTY ST - 315 Liberty St",""
="11-5-9","311 LIBERTY ST - 311 Liberty St",""
="12-1-1","269 GRAND ST - 269 Grand St",""
="12-1-10","245 GRAND ST - 245 Grand St",""
="12-1-11","243 GRAND ST - 243 Grand St",""
="12-1-12","215 GRAND ST - 215 Grand St",""
="12-1-13","120 SOUTH ST - 120 South St",""
="12-1-14","326 LIBERTY ST - 326 Liberty St",""
="12-1-15","328 LIBERTY ST - 328 Liberty St",""
="12-1-16","330 LIBERTY ST - 330 Liberty St",""
="12-1-17.1","332 LIBERTY ST - 332 Liberty St",""
="12-1-18.2","334 LIBERTY ST - 334 Liberty St",""
="12-1-19.1","338 LIBERTY ST - 338 Liberty St",""
="12-1-19.2","336 LIBERTY ST - 336 Liberty St",""
="12-1-2","267 GRAND ST - 267 Grand St",""
="12-1-20.2","340 LIBERTY ST - 340 Liberty St",""
="12-1-21.11","344 LIBERTY ST - 344 Liberty St",""
="12-1-21.12","342 LIBERTY ST - 342 Liberty St",""
="12-1-23","346 LIBERTY ST - 346 Liberty St",""
="12-1-24","348 LIBERTY ST - 348 Liberty St",""
="12-1-25","350 LIBERTY ST - 350 Liberty St",""
="12-1-26","360 LIBERTY ST - 360 Liberty St",""
="12-1-3","265 GRAND ST - 265 Grand St",""
="12-1-4","263 GRAND ST - 263 Grand St",""
="12-1-5","261 GRAND ST - 261 Grand St",""
="12-1-6","251 GRAND ST - 251 Grand St",""
="12-1-7","249 GRAND ST - 249 Grand St",""
="12-1-8","247 GRAND ST - 247 Grand St",""
="12-1-9","245 A GRAND ST - 245 A Grand St",""
="12-2-1","73 CLINTON ST - 73 Clinton St",""
="12-2-13","228 GRAND ST - 228 Grand St",""
="12-2-14","228 A GRAND ST - 228 A Grand St",""
="12-2-15","232 GRAND ST - 232 Grand St",""
="12-2-16","234 GRAND ST - 234 Grand St",""
="12-2-17","236 GRAND ST - 236 Grand St",""
="12-2-18.1","238 GRAND ST - 238 Grand St",""
="12-2-2","189 MONTGOMERY ST - 189 Montgomery St",""
="12-2-20","244 GRAND ST - 244 Grand St",""
="12-2-21","246 GRAND ST - 246 Grand St",""
="12-2-22","250 GRAND ST - 250 Grand St",""
="12-2-23.1","250 GRAND ST REAR - 250 Grand St Rear",""
="12-2-24.1","264 GRAND ST - 264 Grand St",""
="12-2-24.2","260 GRAND ST REAR - 260 Grand St Rear",""
="12-2-25","266 GRAND ST - 266 Grand St",""
="12-2-26.1","268 GRAND ST - 268 Grand St",""
="12-2-26.2","61 CLINTON ST - 61 Clinton St",""
="12-2-3","177 MONTGOMERY ST - 177 Montgomery St",""
="12-2-4.1","240 GRAND ST - 240 Grand St",""
="12-2-4.2","171 MONTGOMERY ST - 171 Montgomery St",""
="12-2-5","137 MONTGOMERY ST - 137 Montgomery St",""
="12-2-6","210 GRAND ST - 210 Grand St",""
="12-3-11","180 MONTGOMERY ST - 180 Montgomery St",""
="12-3-1.1","176 MONTGOMERY ST - 176 Montgomery St",""
="12-3-12","182 MONTGOMERY ST - 182 Montgomery St",""
="12-3-1.2","215 WATER ST - 215 Water St",""
="12-3-13.1","192 MONTGOMERY ST - 192 Montgomery St",""
="12-3-13.2","184 MONTGOMERY ST REAR - 184 Montgomery St Rear",""
="12-3-2.1","207 WATER ST - 207 Water St",""
="12-3-3","209 WATER ST - 209 Water St",""
="12-3-4","207 WATER ST REAR - 207 Water St Rear",""
="12-3-5","158 MONTGOMERY ST - 158 Montgomery St",""
="12-3-6","162 MONTGOMERY ST - 162 Montgomery St",""
="12-3-7","166 MONTGOMERY ST - 166 Montgomery St",""
="12-3-8","170 MONTGOMERY ST - 170 Montgomery St",""
="12-3-9","174 MONTGOMERY ST - 174 Montgomery St",""
="12-4-10","140 MONTGOMERY ST - 140 Montgomery St",""
="12-4-2.1","146 MONTGOMERY ST - 146 Montgomery St",""
="12-4-4.1","137 SMITH ST - 137 Smith St",""
="12-5-1","150 SMITH ST - 150 Smith St",""
="12-6-1.1","1 CLINTON ST - 1 Clinton St",""
="12-6-2","2 SOUTH ST - 2 South St",""
="12-6-3","SOUTH ST - South St",""
="12-6-4","182 WATER ST - 182 Water St",""
="12-6-5.2","180 Water St",""
="15-1-10.1","15 RICHMAN AVE - 15 Richman Ave",""
="15-1-12","11 RICHMAN AVE - 11 Richman Ave",""
="15-1-14.1","7 RICHMAN AVE - 7 Richman Ave",""
="15-1-15","446 THIRD ST - 446 Third St",""
="15-1-16","450 THIRD ST - 450 Third St",""
="15-1-17","454 THIRD ST - 454 Third St",""
="15-1-18","112 WEST ST - 112 West St",""
="15-1-19","116 WEST ST - 116 West St",""
="15-1-20","118 WEST ST - 118 West St",""
="15-1-21","124 WEST ST - 124 West St",""
="15-1-2.1","39 RICHMAN AVE - 39 Richman Ave",""
="15-1-22","126 WEST ST - 126 West St",""
="15-1-23","128 WEST ST - 128 West St",""
="15-1-24","134 WEST ST - 134 West St",""
="15-1-25","140 WEST ST - 140 West St",""
="15-1-26","142 WEST ST - 142 West St",""
="15-1-27","144 WEST ST - 144 West St",""
="15-1-28","148 WEST ST - 148 West St",""
="15-1-29","154 WEST ST - 154 West St",""
="15-1-3","35 RICHMAN AVE - 35 Richman Ave",""
="15-1-30","158 WEST ST - 158 West St",""
="15-1-31","164 WEST ST - 164 West St",""
="15-1-32","166 WEST ST - 166 West St",""
="15-1-33","170 WEST ST - 170 West St",""
="15-1-34","174 WEST ST - 174 West St",""
="15-1-35","176 WEST ST - 176 West St",""
="15-1-36","481 SOUTH ST - 481 South St",""
="15-1-4","33 RICHMAN AVE - 33 Richman Ave",""
="15-1-5","27 RICHMAN AVE - 27 Richman Ave",""
="15-1-7.1","21 RICHMAN AVE - 21 Richman Ave",""
="15-1-8","19 RICHMAN AVE - 19 Richman Ave",""
="15-1-9","17 RICHMAN AVE - 17 Richman Ave",""
="15-2-10","63 VALLEY AVE - 63 Valley Ave",""
="15-2-11","57 VALLEY AVE - 57 Valley Ave",""
="15-2-1.1","463 SOUTH ST - 463 South St",""
="15-2-12","55 VALLEY AVE - 55 Valley Ave",""
="15-2-13","51 VALLEY AVE - 51 Valley Ave",""
="15-2-14","45 VALLEY AVE - 45 Valley Ave",""
="15-2-15","49 VALLEY AVE - 49 Valley Ave",""
="15-2-16","39 VALLEY AVE - 39 Valley Ave",""
="15-2-17","2 RICHMAN AVE - 2 Richman Ave",""
="15-2-18","4 RICHMAN AVE - 4 Richman Ave",""
="15-2-19","8 RICHMAN AVE - 8 Richman Ave",""
="15-2-2","461 SOUTH ST - 461 South St",""
="15-2-20","10 RICHMAN AVE - 10 Richman Ave",""
="15-2-21","12 RICHMAN AVE - 12 Richman Ave",""
="15-2-22","14 RICHMAN AVE - 14 Richman Ave",""
="15-2-23","18 RICHMAN AVE - 18 Richman Ave",""
="15-2-24","22 RICHMAN AVE - 22 Richman Ave",""
="15-2-25","24 RICHMAN AVE - 24 Richman Ave",""
="15-2-26","26 RICHMAN AVE - 26 Richman Ave",""
="15-2-27","28 RICHMAN AVE - 28 Richman Ave",""
="15-2-28","30 RICHMAN AVE - 30 Richman Ave",""
="15-2-29","32 RICHMAN AVE - 32 Richman Ave",""
="15-2-3","459 SOUTH ST - 459 South St",""
="15-2-30","34 RICHMAN AVE - 34 Richman Ave",""
="15-2-31","36 RICHMAN AVE - 36 Richman Ave",""
="15-2-32","38 RICHMAN AVE - 38 Richman Ave",""
="15-2-33","42 RICHMAN AVE - 42 Richman Ave",""
="15-2-4","451 SOUTH ST - 451 South St",""
="15-2-7","77 VALLEY AVE - 77 Valley Ave",""
="15-2-8","71 VALLEY AVE - 71 Valley Ave",""
="15-2-9","65 VALLEY AVE - 65 Valley Ave",""
="15-3-10","62 VALLEY AVE - 62 Valley Ave",""
="15-3-11","66 VALLEY AVE - 66 Valley Ave",""
="15-3-1.1","82 ES VALLEY AVE - 82 Es Valley Ave",""
="15-3-12","72 VALLEY AVE - 72 Valley Ave",""
="15-3-1.2","84 VALLEY AVE - 84 Valley Ave",""
="15-3-13","80 VALLEY AVE - 80 Valley Ave",""
="15-3-2","435 SOUTH ST - 435 South St",""
="15-3-3","433 SOUTH ST - 433 South St",""
="15-3-4","41 ALLISON AVE - 41 Allison Ave",""
="15-3-5","39 ALLISON AVE - 39 Allison Ave",""
="15-3-6","37 ALLISON AVE - 37 Allison Ave",""
="15-3-7.1","31 ALLISON AVE - 31 Allison Ave",""
="15-3-7.2","35 ALLISON AVE - 35 Allison Ave",""
="15-3-8","29 ALLISON AVE - 29 Allison Ave",""
="15-3-9","23 ALLISON AVE - 23 Allison Ave",""
="15-4-1","423 SOUTH ST - 423 South St",""
="15-4-10","22 ALLISON AVE - 22 Allison Ave",""
="15-4-11","3 ENGLEBRIDE PL - 3 Englebride Pl",""
