ID,SaleDate,Price,NBHD_CODE,PROP_CLASS,BLDG_STYLE,GRADE,OVERALL_COND,SFLA,ACRES,YR_BUILT,NBR_BEDROOMS,NBR_FULL_BATHS,NBR_HALF_BATHS,NBR_FIREPLACES
6-6-73,1391731200,122500,5,210,1,C,3,1248,0.387396694,1986,3,2,0,0
20-1-57,1392249600,110000,6,210,8,C,3,1394,0.27107438,1926,3,1,0,0
10-2-13,1392768000,240000,4,210,5,C,4,1750,0.222394399,1920,4,2,1,1
38-1-25,1394668800,105000,13,210,8,C,3,1472,0.099173554,1915,3,1,0,0
25-1-57,1395878400,149450,9,210,8,C,3,1344,0.268250689,1925,3,1,0,1
17-6-5,1396483200,185000,3,210,8,C,4,1532,0.183654729,1900,4,3,0,0
16-8-34,1378944000,90000,11,210,15,C,3,1124,0.083266758,1918,2,2,0,0
15-4-11,1380240000,179000,6,210,3,C,3,1606,0.185950413,1958,3,2,0,1
13-5-25,1380499200,105000,9,210,8,C,3,1056,0.081248852,1920,2,1,1,0
26-1-8,1385942400,10000,5,210,8,C,4,1042,0.09862259,1925,3,1,1,0
12-2-1,1386201600,170000,4,210,8,B,4,2919,0.144628099,1834,4,2,1,4
19-1-5,1386892800,24000,4,210,10,C,2,2100,0.047291093,1900,3,1,0,0
3-10-5,1387324800,170000,2,210,1,C,4,948,0.213731405,1950,2,2,0,0
14-3-7.1,1372636800,170000,5,210,1,C,3,1184,0.172176309,1968,3,1,0,0
7-7-8.1,1374192000,161700,3,210,5,C,4,1265,0.219871442,1932,3,1,1,0
9-2-2,1374537600,235000,4,210,5,C,4,2076,0.083884298,1910,3,1,1,2
41-1-4,1374624000,117000,12,210,5,C,4,1892,1,2015,4,2,1,0
13-2-1,1375228800,98600,9,210,8,C,3,1040,0.061983471,1910,3,1,0,0
7-12-10,1376006400,105000,6,210,4,C,3,1084,0.109044995,1920,2,1,0,1
25-5-5,1376006400,125000,9,210,8,C,3,1577,0.114784206,1940,2,1,0,0
26-3-3.2,1378684800,185000,10,210,2,C,3,2038,0.20661157,2009,4,3,0,1
