ID,Street,Non-Homestead,Account,Code,"2016 City","2016 Full","2017 City","2017 Full","2018 City","2018 Full","2019 City","2019 Full","2020 City","2020 Full","2021 City","2021 Full","2022 City","2022 Full","Sale Date","Sale Price","Sale AV",2016OwnerAtAddress,2017OwnerAtAddress,2018OwnerAtAddress,2019OwnerAtAddress,2020OwnerAtAddress,2021OwnerAtAddress,2022OwnerAtAddress,Latitude,Longitude,TigerLine,DistanceFromCityHall,20162022Diff,SaleAssessDiff,SaleAssessDiffPercent,SqFt,Bathrooms,Bedrooms,YearBuilt,LandSize,Zoning,Ward,CensusBlock,AVPerSqFt,AVChangePercent,SalePricePerSqFt,NbhdCode,2021Vacant,2021Violations,OpportunityZone
1-2-4,"7-8 Williamsburg Dr",0,359320,220,152500,152500,157600,157600,157600,157600,157600,157600,177700,177700,183000,183000,228800,228800,,,,1,1,1,1,1,1,1,41.514683,-74.033455,124492824,2546,76300,,,2538.0,4.0,5.0,1988,1988,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",90.15,0.5,,1,0,0,0
1-2-5,"9-10 Williamsburg Dr",0,359325,220,169000,169000,169000,169000,169000,169000,169000,169000,178600,178600,184000,184000,230000,230000,,,,1,1,1,1,1,1,1,41.514843,-74.03361,124492824,2567,61000,,,2808.0,2.0,5.0,1988,1988,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",81.91,0.36,,1,1,1,0
1-2-6,"11-12 Williamsburg Dr",0,359330,220,178400,178400,178400,178400,178400,178400,178400,178400,190400,190400,196100,196100,245100,245100,2012-04-26,193500,221300,1,1,1,1,1,1,1,41.515007,-74.03376,124492824,2588,66700,-27800,-0.13,3078.0,4.0,6.0,1988,1988,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",79.63,0.37,62.87,1,0,0,0
1-2-7,"13-14 Williamsburg Dr",0,359335,220,140200,140200,140200,140200,140200,140200,140200,140200,163700,163700,168600,168600,210800,210800,,,,1,1,1,1,1,1,1,41.515167,-74.03392,124492824,2610,70600,,,1998.0,2.0,4.0,1988,1988,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",105.51,0.5,,1,0,0,0
1-2-8,"15-16 Williamsburg Dr",0,359340,220,157000,157000,163700,163700,163700,163700,163700,163700,180500,180500,185900,185900,232400,232400,,,,1,1,1,1,1,1,1,41.515324,-74.03408,124492824,2631,75400,,,2538.0,4.0,5.0,1988,1988,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",91.57,0.48,,1,0,0,0
1-2-9,"17-18 Williamsburg Dr",0,359345,220,155400,155400,162100,162100,162100,162100,162100,162100,178900,178900,184300,184300,230400,230400,,,,1,1,1,1,1,1,1,41.515415,-74.03432,124492824,2653,75000,,,2538.0,4.0,5.0,1988,1988,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",90.78,0.48,,1,0,0,0
10-1-1,"424 Liberty St",0,191600,311,6000,6000,6000,6000,6000,6000,20900,20900,20900,20900,20900,20900,23000,23000,,,,1,1,1,1,1,1,1,41.51158,-74.01082,639364685,1290,17000,,,null,null,null,null,null,"Residential Low Density","Ward 1","County 071 Tract 000400 Block Group 1",,2.83,,4,0,0,1
10-1-10.2,"285 Grand St",0,143650,311,,,5500,5500,5500,5500,8200,8200,8200,8200,8200,8200,9000,9000,,,,0,1,1,1,1,1,1,,,,0,,,,null,null,null,null,null,"Residential Low Density","Ward 1","County 071 Tract 000400 Block Group 1",,,,4,0,0,1
10-1-12,"283 Grand St",0,143600,220,110400,110400,116500,116500,116500,116500,146200,146200,157400,157400,173100,173100,207700,207700,2022-01-05,226000,173100,1,1,1,1,1,1,1,41.509777,-74.00924,124413538,1090,97300,52900,0.31,1500.0,2.5,4.0,1900,1900,"Residential Low Density","Ward 1","County 071 Tract 000400 Block Group 1",138.47,0.88,150.67,4,0,0,1
10-1-14,"281 Grand St",1,143550,411,207700,207700,232600,232600,265800,265800,265800,265800,442000,442000,605100,605100,605100,605100,2021-01-29,800000,442000,1,1,1,1,1,1,1,41.50971,-74.00924,124413538,1082,397400,358000,0.81,5532.0,null,null,1890,1890,"Residential Low Density","Ward 1","County 071 Tract 000400 Block Group 1",109.38,1.91,144.61,22,0,0,1
