ID,Street,Non-Homestead,Account,Code,"2016 City","2016 Full","2017 City","2017 Full","2018 City","2018 Full","2019 City","2019 Full","2020 City","2020 Full","2021 City","2021 Full","2022 City","2022 Full","Sale Date","Sale Price","Sale AV",2016OwnerAtAddress,2017OwnerAtAddress,2018OwnerAtAddress,2019OwnerAtAddress,2020OwnerAtAddress,2021OwnerAtAddress,2022OwnerAtAddress,Latitude,Longitude,TigerLine,DistanceFromCityHall,20162022Diff,SaleAssessDiff,SaleAssessDiffPercent,SqFt,Bathrooms,Bedrooms,YearBuilt,LandSize,Zoning,Ward,CensusBlock,AVPerSqFt,AVChangePercent,SalePricePerSqFt,NbhdCode,2021Vacant,2021Violations,OpportunityZone
30-1-4,"51 S Miller St",0,295000,210,65400,68800,58600,58600,58600,58600,58600,58600,89300,89300,46900,93800,56300,112600,,,,1,1,1,1,1,1,1,41.50138,-74.01436,124413677,394,43800,,,1317.0,2.5,4.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",85.5,0.64,,8,0,0,1
30-1-40,"24 Dubois St",1,084350,411,137100,137100,139900,139900,139900,139900,139900,139900,228000,228000,263100,263100,263100,263100,,,,1,1,1,1,1,1,1,41.501537,-74.01533,124413673,475,126000,,,3168.0,null,null,1907,1907,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",83.05,0.92,,25,0,0,1
30-1-41,"26 Dubois St",1,084400,411,139500,139500,153000,153000,153000,153000,153000,153000,252000,252000,322700,322700,322700,322700,2020-11-04,375000,252000,1,1,1,1,1,1,1,41.501587,-74.01533,124413673,477,183200,123000,0.49,3168.0,null,null,1906,1906,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",101.86,1.31,118.37,25,0,0,1
30-1-42,"30 Dubois St",0,084450,220,66000,71700,68700,68700,76800,76800,84500,84500,115500,115500,136300,136300,163600,163600,,,,1,1,1,1,1,1,1,41.50169,-74.01531,124413673,480,91900,,,1380.0,2.0,4.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",118.55,1.28,,8,0,0,1
30-1-43,"36 Dubois St",0,084500,220,51900,56400,51900,51900,68100,68100,74900,74900,178200,178200,210300,210300,378900,378900,2021-10-28,421500,210300,1,1,1,1,1,1,1,41.501842,-74.0153,124413673,486,322500,211200,1,2081.0,3.0,5.0,1890,1890,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",182.08,5.72,202.55,8,0,0,1
30-1-44,"38 Dubois St",0,084550,230,0,36600,36600,36600,36600,36600,36600,257500,36806,259200,43438,305900,52128,367100,,,,1,1,1,1,1,1,1,41.501892,-74.01529,124413673,488,330500,,,2401.0,3.5,5.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",152.89,9.03,,25,0,0,1
30-1-45,"40 Dubois St",0,084600,210,55200,58100,59500,59500,59500,59500,59500,59500,130300,130300,78900,78900,80000,80000,,,,1,1,1,1,1,1,1,41.50194,-74.01528,124413673,489,21900,,,1773.0,3.0,6.0,1865,1865,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",45.12,0.38,,8,0,0,1
30-1-46,"42 Dubois St",0,084650,220,72600,78900,78200,78200,99700,99700,109700,109700,149600,149600,80000,80000,80000,80000,,,,1,1,1,1,1,1,1,41.501995,-74.01528,124413673,492,1100,,,2196.0,3.0,6.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",36.43,0.01,,8,0,0,1
30-1-47,"46 Dubois St",0,084700,220,0,88500,81400,81400,105700,105700,116300,116300,186900,186900,198200,198200,237800,237800,,,,1,1,1,1,1,1,1,41.502098,-74.01527,124413673,497,149300,,,2125.0,4.0,5.0,1890,1890,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",111.91,1.69,,8,0,0,1
30-1-48,"48 Dubois St",0,084750,230,0,83100,76500,76500,103200,103200,113500,113500,198900,198900,174000,350600,210350,420700,,,,1,1,1,1,1,1,1,41.502148,-74.01527,124413673,499,337600,,,3430.0,4.0,5.0,1886,1886,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",122.65,4.06,,8,0,0,1
30-1-49,"50 Dubois St",0,084800,220,73700,80100,73700,73700,91900,91900,101100,101100,174700,174700,80000,80000,80000,80000,,,,1,1,1,1,1,1,1,41.502197,-74.01526,124413673,501,-100,,,2724.0,3.0,4.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",29.37,-0,,8,0,0,1
30-1-5,"49 S Miller St",0,294950,210,65100,68500,58600,58600,58600,58600,58600,58600,89100,89100,93600,93600,112300,112300,,,,1,1,1,1,1,1,1,41.501343,-74.01436,124413677,392,43800,,,1317.0,1.5,4.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",85.27,0.64,,8,0,0,1
30-1-50,"52 Dubois St",0,084850,230,30500,30500,32900,32900,32900,32900,36200,36200,94100,94100,111000,111000,133200,133200,2019-10-04,60000,36200,1,1,1,1,1,1,1,41.50225,-74.01525,124413673,504,102700,23800,0.66,3013.0,3.0,5.0,1895,1895,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",44.21,3.37,19.91,8,1,1,1
30-1-51,"54 Dubois St",0,084900,230,0,44100,40600,40600,40600,40600,40600,198800,59303,290700,69972,343000,83966,411600,,,,1,1,1,2,1,1,2,41.5023,-74.01524,124413673,506,367500,,,3900.0,3.0,9.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",105.54,8.33,,8,0,0,1
30-1-6,"47 S Miller St",0,294900,220,55800,60700,46300,46300,48500,48500,53400,53400,62600,62600,53400,200200,64854,240200,2018-07-13,52500,43300,1,1,1,1,1,1,1,41.501305,-74.01436,124413677,391,179500,9200,0.21,1182.0,2.0,3.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",203.21,2.96,44.42,8,1,0,1
30-1-7,"45 S Miller St",0,294850,210,72200,76000,64900,64900,64900,64900,64900,64900,116500,116500,122300,122300,146800,146800,,,,1,1,1,1,1,1,1,41.501266,-74.014366,124413677,390,70800,,,1956.0,3.5,5.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",75.05,0.93,,8,0,0,1
30-1-8,"43 S Miller St",0,294800,210,68200,71800,68200,68200,68200,68200,68200,68200,84900,84900,89100,89100,106900,106900,,,,1,1,1,1,1,1,1,41.501225,-74.014366,124413677,388,35100,,,1386.0,1.0,4.0,1895,1895,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",77.13,0.49,,8,0,0,1
30-1-9,"41 S Miller St",0,294750,210,67100,70600,67100,67100,67100,67100,67100,67100,88800,88800,93200,93200,111800,111800,2014-07-23,39900,78400,1,1,1,1,1,1,1,41.501186,-74.01437,124413677,387,41200,-38500,-0.49,1425.0,1.0,3.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",78.46,0.58,28,8,0,0,1
30-2-1,"193 First St",1,669825,411,0,58300,0,58300,0,58300,0,64100,0,83000,0,140800,0,244200,,,,1,1,1,1,1,1,1,,,,0,185900,,,3600.0,3.0,6.0,1910,1910,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",67.83,3.19,,8,1,0,1
30-2-10,"43 Johnston St",0,672165,230,44600,48500,44600,44600,46200,46200,50800,50800,0,96600,0,114000,0,331700,,,,1,1,1,1,1,1,1,41.501434,-74.01341,124413683,325,283200,,,2322.0,3.0,6.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",142.85,5.84,,8,1,0,1
30-2-11,"39 Johnston St",1,164400,483,0,130900,99500,99500,99500,99500,99500,865600,103327,898500,103327,898500,103327,898500,,,,1,1,1,1,1,1,1,41.50133,-74.01343,124413683,321,767600,,,14030.0,null,null,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",64.04,5.86,,25,0,0,1
30-2-12,"35 Johnston St",0,164350,311,1600,1600,1600,1600,1600,1600,10200,10200,10200,10200,10200,10200,11200,11200,,,,1,1,1,1,1,1,1,41.50123,-74.013435,124413683,317,9600,,,null,null,null,null,null,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",,6,,8,0,0,1
30-2-13,"33 Johnston St",0,164300,230,44300,48200,44300,44300,44300,44300,48700,48700,95900,95900,225000,225000,137700,270000,2018-08-24,82500,44300,1,1,1,1,1,1,1,41.501175,-74.013435,124413683,314,221800,38200,0.86,1908.0,3.0,6.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",141.51,4.6,43.24,8,1,1,1
30-2-14.1,"31 Johnston St",0,164250,220,79900,86800,80800,80800,94000,94000,103400,103400,167300,167300,197400,197400,236900,236900,,,,1,1,1,1,1,1,1,,,,0,150100,,,2817.0,2.0,5.0,1895,1895,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",84.1,1.73,,8,0,0,1
30-2-16,"27 Johnston St",0,672153,220,57700,62700,57700,57700,63900,63900,70300,70300,0,125600,0,148200,0,272000,,,,1,1,1,1,1,1,1,41.501022,-74.01345,124413683,309,209300,,,1680.0,3.0,3.0,1906,1906,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",161.9,3.34,,8,1,0,1
30-2-17,"25 Johnston St",0,164100,210,0,67700,0,64300,0,64300,64300,64300,64300,161300,67540,169400,81320,203300,,,,1,1,1,1,1,1,1,41.50097,-74.01346,124413683,307,135600,,,1581.0,1.0,5.0,1910,1910,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",128.59,2,,8,1,0,1
30-2-18,"23 Johnston St",0,164050,210,0,10900,0,10900,0,10900,153800,153800,118240,175400,141330,184200,192420,221000,,,,1,1,1,1,1,1,1,41.50092,-74.013466,124413683,306,210100,,,1520.0,1.5,4.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",145.39,19.28,,8,0,0,1
30-2-19,"21 Johnston St",0,164000,210,0,10900,0,10900,0,10900,62350,153800,98240,175400,121330,184200,172420,221000,,,,1,1,1,1,1,1,1,41.500866,-74.013466,124413683,304,210100,,,1520.0,1.5,4.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",145.39,19.28,,8,0,0,1
30-2-2,"191 First St",0,103100,230,55900,60800,55900,55900,66000,66000,72600,72600,186900,186900,220500,220500,264600,264600,,,,1,1,1,1,1,1,1,,,,0,203800,,,2142.0,3.0,6.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",123.53,3.35,,8,0,0,1
30-2-20,"19 Johnston St",1,672162,411,98800,98800,61700,61700,61700,61700,61700,61700,94900,94900,0,121800,0,121800,2019-04-08,139000,61700,1,1,1,1,1,1,1,41.500816,-74.01347,124413683,302,23000,77300,1.25,2310.0,null,null,1891,1891,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",52.73,0.23,60.17,25,1,1,1
30-2-21,"17 Johnston St",0,163900,220,59400,64600,59400,59400,44000,44000,48400,48400,63600,63600,75000,75000,90000,90000,,,,1,1,1,1,1,1,1,41.500763,-74.01348,124413683,302,25400,,,2376.0,2.0,5.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",37.88,0.39,,8,1,0,1
30-2-22.2,"9 Johnston St",1,672161,620,0,359500,0,361100,0,603900,0,603900,0,654300,0,654300,0,654300,,,,1,1,1,1,1,1,1,,,,0,294800,,,9320.0,null,null,null,null,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",70.2,0.82,,25,0,0,1
30-2-24,"150 Broadway",1,034900,330,5000,5000,5000,5000,5000,5000,4200,4200,16900,16900,16900,16900,18600,18600,,,,1,1,1,1,1,1,1,41.50019,-74.0137,124413691,308,13600,,,null,null,null,null,null,"Broadway Corridor","Ward 1","County 071 Tract 000400 Block Group 5",,2.72,,33,0,0,1
30-2-25,"152 Broadway",1,034950,330,7500,7500,7500,7500,7500,7500,6100,6100,24800,24800,24800,24800,27300,27300,,,,1,1,1,1,1,1,1,41.5002,-74.01379,124413691,316,19800,,,null,null,null,null,null,"Broadway Corridor","Ward 1","County 071 Tract 000400 Block Group 5",,2.64,,33,0,0,1
30-2-26,"156 Broadway",1,035000,330,4000,4000,4000,4000,4000,4000,1800,1800,1100,1100,1100,1100,1200,1200,,,,1,1,1,1,1,1,1,41.50021,-74.013954,124413691,329,-2800,,,null,null,null,null,null,"Broadway Corridor","Ward 1","County 071 Tract 000400 Block Group 5",,-0.7,,33,0,0,1
30-2-27,"158 Broadway",1,035050,481,140800,140800,145500,145500,145500,145500,145500,145500,245200,245200,245200,245200,310300,310300,2019-03-12,240000,145500,1,1,1,1,1,1,1,41.500214,-74.01404,124413691,337,169500,94500,0.65,3375.0,null,null,1900,1900,"Broadway Corridor","Ward 1","County 071 Tract 000400 Block Group 5",91.94,1.2,71.11,33,0,0,1
30-2-28,"160 Broadway",1,035100,481,120700,120700,126800,126800,126800,126800,126800,126800,208900,208900,208900,208900,323200,323200,2019-03-12,240000,126800,1,1,1,1,1,1,1,41.50022,-74.01412,124413691,343,202500,113200,0.89,3594.0,null,null,1890,1890,"Broadway Corridor","Ward 1","County 071 Tract 000400 Block Group 5",89.93,1.68,66.78,33,0,0,1
30-2-29,"162 Broadway",1,035150,481,149600,149600,166800,166800,166800,166800,166800,166800,266900,266900,266900,266900,421100,421100,2019-03-12,255000,166800,1,1,1,1,1,1,1,41.500225,-74.014206,124413691,350,271500,88200,0.53,4872.0,null,null,1900,1900,"Broadway Corridor","Ward 1","County 071 Tract 000400 Block Group 5",86.43,1.81,52.34,33,0,0,1
30-2-3,"187 First St",0,103050,312,0,2100,2100,2100,2100,2100,19800,19800,20800,20800,20800,20800,21100,21100,,,,1,1,1,1,1,1,1,,,,0,19000,,,null,null,null,null,null,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",,9.05,,8,0,0,1
30-2-30,"164 Broadway",1,035200,481,154200,154200,160400,160400,160400,160400,160400,160400,219600,219600,219600,219600,326900,326900,2019-03-12,220000,160400,1,1,1,1,1,1,1,41.500233,-74.01429,124413691,358,172700,59600,0.37,3333.0,null,null,1880,1880,"Broadway Corridor","Ward 1","County 071 Tract 000400 Block Group 5",98.08,1.12,66.01,33,0,0,1
30-2-31,"166 Broadway",1,035250,481,97500,97500,101100,101100,101100,101100,101100,101100,227000,227000,227000,227000,343500,343500,2019-03-12,275000,101100,1,1,1,1,1,1,1,41.50024,-74.01437,124413691,364,246000,173900,1.72,3372.0,null,null,1900,1900,"Broadway Corridor","Ward 1","County 071 Tract 000400 Block Group 5",101.87,2.52,81.55,33,0,0,1
30-2-32,"8 S Miller St",1,292850,411,135800,135800,140000,140000,143700,143700,143700,143700,245000,245000,270000,270000,270000,270000,,,,1,1,1,1,1,1,1,41.500534,-74.01442,124413677,372,134200,,,5520.0,null,null,1890,1890,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",48.91,0.99,,25,0,0,1
30-2-33,"12 S Miller St",0,292900,230,0,11300,11300,11300,11300,11300,11300,11300,259500,259500,82200,274900,98970,329900,,,,1,1,1,1,1,1,1,41.50061,-74.01441,124413677,373,318600,,,1706.0,1.0,4.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",193.38,28.19,,8,1,0,1
30-2-34,"14 S Miller St",0,292950,220,67300,73200,67300,67300,68700,68700,75600,75600,145800,145800,172000,172000,206400,206400,,,,1,1,1,1,1,1,1,41.500652,-74.014404,124413677,373,133200,,,1752.0,2.0,3.0,1881,1881,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",117.81,1.82,,8,0,0,1
30-2-35,"16 S Miller St",0,293000,210,67000,70500,67000,67000,67000,67000,67000,67000,96500,96500,101300,101300,121600,121600,,,,1,1,1,1,1,1,1,41.50069,-74.014404,124413677,374,51100,,,1586.0,1.5,4.0,1895,1895,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",76.67,0.72,,8,0,0,1
30-2-36,"18 S Miller St",0,293050,210,68500,72100,64100,64100,64100,64100,64100,64100,115100,115100,120900,120900,145100,145100,,,,1,1,1,1,1,1,1,41.50073,-74.0144,124413677,375,73000,,,1456.0,2.0,4.0,1890,1890,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",99.66,1.01,,8,0,0,1
30-2-37,"20 S Miller St",0,293100,210,0,26700,0,26700,0,26700,26700,121900,67900,163100,37568,171300,45232,205600,,,,1,1,1,1,1,1,1,41.50077,-74.0144,124413677,376,178900,,,2940.0,3.5,7.0,1895,1895,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",69.93,6.7,,8,0,0,1
30-2-38,"22 S Miller St",0,293150,210,0,59700,0,86600,56700,98500,56700,98500,90944,156800,95468,164600,114550,197500,,,,1,1,1,1,1,1,1,41.50081,-74.01439,124413677,376,137800,,,1628.0,1.5,4.0,1890,1890,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",121.31,2.31,,8,0,0,1
30-2-39,"24 S Miller St",0,293200,210,0,61400,0,86600,86600,86600,86600,86600,154500,154500,162200,162200,194600,194600,,,,1,1,1,1,1,1,1,41.500847,-74.01439,124413677,377,133200,,,1520.0,1.5,3.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",128.03,2.17,,8,0,0,1
30-2-4,"185 First St",0,103000,230,0,48200,44300,44300,44300,185200,44300,185200,68904,287100,81312,338800,97584,406600,,,,1,1,1,1,1,1,1,,,,0,358400,,,3384.0,3.0,6.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",120.15,7.44,,8,0,0,1
30-2-40,"26 S Miller St",0,293250,210,0,54500,0,90800,51800,107000,51800,107000,81651,168700,85716,177100,103063,212500,,,,1,1,1,1,1,1,1,41.50089,-74.01438,124413677,377,158000,,,1842.0,3.0,4.0,1890,1890,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",115.36,2.9,,8,0,0,1
30-2-41,"28 S Miller St",0,293300,220,62900,68400,63700,63700,71000,71000,78100,78100,127600,127600,150600,150600,180700,180700,,,,1,1,1,1,1,1,1,41.500927,-74.01438,124413677,379,112300,,,1674.0,2.0,6.0,1890,1890,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",107.95,1.64,,8,0,0,1
30-2-42,"30 S Miller St",0,293350,210,0,56800,0,52300,89800,89800,92500,130000,102548,176200,107670,185000,129204,222000,,,,1,1,1,1,1,1,1,41.500965,-74.01437,124413677,379,165200,,,1814.0,2.0,5.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",122.38,2.91,,8,0,0,1
30-2-43,"32 S Miller St",0,293400,210,60100,63300,51600,51600,51600,51600,51600,51600,117900,117900,123800,123800,148600,148600,,,,1,1,1,1,1,1,1,41.501007,-74.01437,124413677,380,85300,,,1927.0,1.5,5.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",77.11,1.35,,8,0,0,1
30-2-44,"34 S Miller St",0,293450,220,59200,64300,63700,63700,66700,66700,73400,73400,129100,129100,152300,152300,182800,182800,,,,1,1,1,1,1,1,1,41.501045,-74.01437,124413677,382,118500,,,1480.0,2.0,3.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",123.51,1.84,,8,0,0,1
30-2-45,"36 S Miller St",0,293500,210,63300,66600,63300,63300,63300,63300,63300,63300,90400,90400,94900,94900,113900,113900,,,,1,1,1,1,1,1,1,41.501083,-74.014366,124413677,383,47300,,,1540.0,2.0,7.0,1903,1903,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",73.96,0.71,,8,0,0,1
30-2-46,"38 S Miller St",0,293550,220,67800,73700,76500,76500,78100,78100,85900,85900,132700,132700,156600,156600,187900,187900,2021-09-03,180000,156600,1,1,1,1,1,1,1,41.501125,-74.014366,124413677,384,114200,23400,0.15,1525.0,2.0,4.0,1890,1890,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",123.21,1.55,118.03,8,0,0,1
30-2-47,"40 S Miller St",0,293600,220,12400,12400,12400,12400,18000,18000,19800,19800,54300,54300,64100,64100,76900,76900,2021-05-07,120000,54300,1,1,1,1,1,1,1,41.501163,-74.01436,124413677,385,64500,65700,1.21,1386.0,1.0,4.0,1910,1910,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",55.48,5.2,86.58,8,1,0,1
30-2-48,"42 S Miller St",0,293650,311,1000,1000,1000,1000,1000,1000,1600,1600,1600,1600,1600,1600,1800,1800,,,,1,1,1,1,1,1,1,41.5012,-74.01436,124413677,386,800,,,null,null,null,null,null,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",,0.8,,8,1,0,1
30-2-49,"44 S Miller St",0,675349,210,20300,20300,20300,20300,20300,20300,0,20300,0,42500,0,44600,0,53500,,,,1,1,1,1,1,1,1,41.501244,-74.01435,124413677,387,33200,,,2310.0,1.5,3.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",23.16,1.64,,8,1,0,1
30-2-5,"183 First St",0,102950,312,0,23200,12100,12100,12100,12100,12100,12100,12300,12300,12300,12300,12600,12600,,,,1,1,1,1,1,1,1,,,,0,-10600,,,null,null,null,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",,-0.46,,8,0,0,1
30-2-50,"46 S Miller St",0,293750,220,0,20700,20700,20700,20700,122700,20700,122700,37349,219700,44064,259200,52870,311000,,,,1,1,2,2,1,1,2,41.50128,-74.01435,124413677,389,290300,,,2318.0,3.0,3.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",134.17,14.02,,8,0,0,1
30-2-51,"48 S Miller St",0,293800,220,0,21900,21900,21900,21900,124000,21900,124000,39762,220900,46926,260700,56304,312800,,,,1,1,2,2,1,1,2,41.50132,-74.01434,124413677,390,290900,,,2318.0,3.0,4.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",134.94,13.28,,8,1,0,1
30-2-52,"50 S Miller St",1,293850,411,108000,108000,50100,50100,50100,50100,50100,50100,67800,67800,94900,94900,94900,94900,2021-11-16,235000,94900,1,1,1,1,1,1,1,41.50136,-74.01434,124413677,391,-13100,140100,1.48,2310.0,null,null,1880,1880,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",41.08,-0.12,101.73,25,1,0,1
30-2-53,"52 S Miller St",0,293900,230,58100,63100,33000,33000,33000,33000,125900,125900,169700,169700,200200,200200,240200,240200,,,,1,1,1,1,1,1,1,41.5014,-74.014336,124413677,393,177100,,,2310.0,3.0,10.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",103.98,2.81,,8,0,0,1
30-2-6,"181 First St",0,102900,220,55100,59900,68500,68500,71400,71400,78500,78500,79000,79000,93200,93200,111800,111800,,,,1,1,1,1,1,1,1,,,,0,51900,,,1232.0,2.0,5.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",90.75,0.87,,8,0,0,1
30-2-7,"171 First St",1,102850,440,17200,17200,23600,23600,17700,17700,101500,101500,124200,124200,124200,124200,124200,124200,,,,1,1,1,1,1,1,1,,,,0,107000,,,null,null,null,null,null,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",,6.22,,8,0,0,1
30-2-8,"47 Johnston St",0,164550,230,36800,40000,36800,36800,37800,37800,41600,41600,119200,119200,131100,131100,374400,374400,2019-03-13,115000,41600,1,1,1,1,1,1,1,41.501537,-74.013405,124413683,331,334400,73400,1.76,2913.0,3.0,6.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",128.53,8.36,39.48,8,1,1,1
30-2-9,"45 Johnston St",0,672168,230,0,74400,0,68400,0,68400,0,75200,0,78000,0,92000,0,393000,,,,1,1,1,1,1,1,1,41.501488,-74.01341,124413683,328,318600,,,3141.0,2.5,7.0,1900,1900,"Residential Medium Density","Ward 1","County 071 Tract 000400 Block Group 5",125.12,4.28,,8,1,0,1
30-3-1,"60 Johnston St",0,161950,220,92000,92000,93600,93600,95400,95400,104900,104900,170600,170600,201300,201300,241600,241600,2019-06-20,170000,95400,1,1,1,1,1,1,1,41.50221,-74.01333,124413683,371,149600,74600,0.78,2625.0,4.0,6.0,1900,1900,"Downtown Neighborhood","Ward 1","County 071 Tract 000400 Block Group 5",92.04,1.63,64.76,8,0,0,1
30-3-10,"42 Lander St",0,672218,230,0,1000,0,1000,0,1000,0,2000,0,2000,0,2000,0,302900,,,,1,1,1,1,1,1,1,41.501667,-74.01249,124413684,278,301900,,,null,null,null,null,null,"Downtown Neighborhood","Ward 1","County 071 Tract 000400 Block Group 5",,301.9,,8,0,0,1
30-3-11,"40 Lander St",1,173100,411,69100,69100,104600,104600,106800,106800,106800,106800,280000,280000,328800,328800,328800,328800,2019-05-08,300000,106800,1,1,1,1,1,1,1,41.5016,-74.0125,124413684,274,259700,193200,1.81,1800.0,null,null,1900,1900,"Downtown Neighborhood","Ward 1","County 071 Tract 000400 Block Group 5",182.67,3.76,166.67,25,0,0,1
30-3-12,"38 Lander St",0,672219,210,0,20600,0,20600,0,20600,0,20600,0,37300,0,39200,0,47000,,,,1,1,1,1,1,1,1,41.50153,-74.012505,124413684,269,26400,,,1000.0,1.0,4.0,1895,1895,"Downtown Neighborhood","Ward 1","County 071 Tract 000400 Block Group 5",47,1.28,,8,1,0,1
30-3-13,"36 Lander St",0,173000,210,23900,23900,35400,35400,35400,35400,35400,35400,93600,93600,98300,98300,118000,118000,,,,1,1,1,1,1,1,1,41.50146,-74.012505,124413684,264,94100,,,1156.0,1.0,4.0,1896,1896,"Downtown Neighborhood","Ward 1","County 071 Tract 000400 Block Group 5",102.08,3.94,,8,1,1,1
30-3-14,"34 Lander St",0,672216,230,0,54000,0,36300,0,36300,0,39900,0,72100,0,85100,0,102100,,,,1,1,1,1,1,1,1,41.501392,-74.01251,124413684,260,48100,,,2578.0,3.0,8.0,1940,1940,"Downtown Neighborhood","Ward 1","County 071 Tract 000400 Block Group 5",39.6,0.89,,8,1,0,1
30-3-16.2,"28-30 Lander St",1,172900,482,76400,76400,142600,142600,142600,142600,142600,142600,251400,251400,251400,251400,251400,251400,,,,1,1,1,1,1,1,1,,,,0,175000,,,11364.0,null,null,1930,1930,"Downtown Neighborhood","Ward 1","County 071 Tract 000400 Block Group 5",22.12,2.29,,25,0,0,1
30-3-18,"24 Lander St",1,172800,482,0,155100,155100,155100,155100,155100,155100,155100,161500,161500,161500,161500,161500,161500,,,,1,1,1,1,1,1,1,41.501045,-74.012535,124413684,241,6400,,,2520.0,null,null,1920,1920,"Downtown Neighborhood","Ward 1","County 071 Tract 000400 Block Group 5",64.09,0.04,,25,0,0,1
30-3-19,"22 Lander St",0,172750,220,52900,57500,66300,66300,69500,69500,76500,76500,146300,146300,195300,195300,234400,234400,,,,1,1,1,1,1,1,1,41.500977,-74.012535,124413684,237,176900,,,1242.0,3.0,3.0,1910,1910,"Downtown Neighborhood","Ward 1","County 071 Tract 000400 Block Group 5",188.73,3.08,,8,0,0,1
30-3-2,"161 First St",1,461205,873,2400,2400,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,,,,1,1,1,1,1,1,1,41.502205,-74.01098,124413708,259,-100,,,null,null,null,null,null,"Downtown Neighborhood","Ward 1","County 071 Tract 000400 Block Group 5",,-0.04,,25,0,0,1
