"18-11-13","119 JOHNSTON ST - 119 Johnston St","","Yes"
"18-11-15","115 JOHNSTON ST - 115 Johnston St","","Yes"
"18-11-16","113 JOHNSTON ST - 113 Johnston St","","Yes"
"18-11-17","111 JOHNSTON ST - 111 Johnston St","","Yes"
"18-11-18","109 JOHNSTON ST - 109 Johnston St","","Yes"
"18-1-14","145 N MILLER ST - 145 N Miller St","","Yes"
"18-11-7","61 FARRINGTON ST - 61 Farrington St","","Yes"
"18-1-23","118 DUBOIS ST - 118 Dubois St","","Yes"
"18-1-27","128 DUBOIS ST - 128 Dubois St","","Yes"
"18-1-3","199 SOUTH ST - 199 South St","","Yes"
"18-1-5","167 N MILLER ST - 167 N Miller St","","Yes"
"18-1-6","162 DUBOIS ST - 162 Dubois St","","Yes"
"18-1-7","163 N MILLER ST - 163 N Miller St","","Yes"
"18-2-12","145 JOHNSTON ST - 145 Johnston St","","Yes"
"18-2-13","143 JOHNSTON ST - 143 Johnston St","","Yes"
"18-2-19","131 JOHNSTON ST - 131 Johnston St","","Yes"
"18-2-2","169 JOHNSTON ST - 169 Johnston St","","Yes"
"18-2-20","129 JOHNSTON ST - 129 Johnston St","","Yes"
"18-2-21","127 JOHNSTON ST - 127 Johnston St","","Yes"
"18-2-22","125 JOHNSTON ST - 125 Johnston St","","Yes"
"18-2-36","162 N MILLER ST - 162 N Miller St","","Yes"
"18-2-42","191 SOUTH ST - 191 South St","","Yes"
"18-2-8","157 JOHNSTON ST - 157 Johnston St","","Yes"
"18-3-12","160 LANDER ST - 160 Lander St","","Yes"
"18-3-14","156 LANDER ST - 156 Lander St","","Yes"
"18-3-16","152 LANDER ST - 152 Lander St","","Yes"
"18-3-17","150 LANDER ST - 150 Lander St","","Yes"
"18-3-31","42 FARRINGTON ST - 42 Farrington St","","Yes"
"18-3-41","144 JOHNSTON ST - 144 Johnston St","","Yes"
"18-3-44","150 JOHNSTON ST - 150 Johnston St","","Yes"
"18-3-45","152 JOHNSTON ST - 152 Johnston St","","Yes"
"18-3-46","154 JOHNSTON ST - 154 Johnston St","","Yes"
"18-3-8","168 LANDER ST - 168 Lander St","","Yes"
"18-4-10","157 CHAMBERS ST - 157 Chambers St","","Yes"
"18-4-17","145 CHAMBERS ST - 145 Chambers St","","Yes"
"18-4-18","143 CHAMBERS ST - 143 Chambers St","","Yes"
"18-4-19","141 CHAMBERS ST - 141 Chambers St","","Yes"
"18-4-20","139 CHAMBERS ST - 139 Chambers St","","Yes"
"18-4-21","137 CHAMBERS ST - 137 Chambers St","","Yes"
"18-4-22","135 CHAMBERS ST - 135 Chambers St","","Yes"
"18-4-25","129 CHAMBERS ST - 129 Chambers St","","Yes"
"18-4-26","127 CHAMBERS ST - 127 Chambers St","","Yes"
"18-4-33","131 LANDER ST - 131 Lander St","","Yes"
"18-4-34","133 LANDER ST - 133 Lander St","","Yes"
"18-4-35","135 LANDER ST - 135 Lander St","","Yes"
"18-4-36","137 LANDER ST - 137 Lander St","","Yes"
"18-4-37","139 LANDER ST - 139 Lander St","","Yes"
"18-4-4","169 CHAMBERS ST - 169 Chambers St","","Yes"
"18-4-5","167 CHAMBERS ST - 167 Chambers St","","Yes"
"18-4-7","163 CHAMBERS ST - 163 Chambers St","","Yes"
"18-5-10","271 LIBERTY ST - 271 Liberty St","","Yes"
"18-5-11","269 LIBERTY ST - 269 Liberty St","","Yes"
"18-5-14","263 LIBERTY ST - 263 Liberty St","","Yes"
"18-5-17","6 FARRINGTON ST - 6 Farrington St","","Yes"
"18-5-19","10 FARRINGTON ST - 10 Farrington St","","Yes"
"18-5-2","299 LIBERTY ST - 299 Liberty St","","Yes"
"18-5-21","14 FARRINGTON ST - 14 Farrington St","","Yes"
"18-5-22","16 FARRINGTON ST - 16 Farrington St","","Yes"
"18-5-23","132 CHAMBERS ST - 132 Chambers St","","Yes"
"18-5-27","140 CHAMBERS ST - 140 Chambers St","","Yes"
"18-6-10","189 GRAND ST - 189 Grand St","","Yes"
"18-6-24","250 LIBERTY ST - 250 Liberty St","","Yes"
"18-6-26","254 LIBERTY ST - 254 Liberty St","","Yes"
"18-6-3","117 SOUTH ST - 117 South St","","Yes"
"18-6-30","260 LIBERTY ST - 260 Liberty St","","Yes"
"18-6-38","282 LIBERTY ST - 282 Liberty St","","Yes"
"18-6-4","115 SOUTH ST - 115 South St","","Yes"
"18-6-42","290 LIBERTY ST - 290 Liberty St","","Yes"
"18-7-7","145 GRAND ST - 145 Grand St","","Yes"
"18-8-1.1","257 LIBERTY ST - 257 Liberty St","","Yes"
"18-8-2","245 LIBERTY ST - 245 Liberty St","","Yes"
"18-9-10","109 CHAMBERS ST - 109 Chambers St","","Yes"
"18-9-12.11","128 THIRD ST - 128 Third St","","Yes"
"18-9-17","140 THIRD ST - 140 Third St","","Yes"
"18-9-19","111 LANDER ST - 111 Lander St","","Yes"
"18-9-2","25 FARRINGTON ST - 25 Farrington St","","Yes"
"18-9-21","115 LANDER ST - 115 Lander St","","Yes"
"18-9-22","117 LANDER ST - 117 Lander St","","Yes"
"18-9-23","119 LANDER ST - 119 Lander St","","Yes"
"18-9-24","121 LANDER ST - 121 Lander St","","Yes"
"18-9-9","111 CHAMBERS ST - 111 Chambers St","","Yes"
"19-1-19","99 MONTGOMERY ST - 99 Montgomery St","","Yes"
"19-1-25","134 GRAND ST - 134 Grand St","","Yes"
"19-1-7","129 MONTGOMERY ST - 129 Montgomery St","","Yes"
"20-1-11","433 THIRD ST - 433 Third St","","Yes"
"20-1-2","451 THIRD ST - 451 Third St","","Yes"
"20-2-9","407 THIRD ST - 407 Third St","","Yes"
"2-10-15","15 FLEMMING DR - 15 Flemming Dr","","Yes"
"2-10-27","26 SHERMAN DR - 26 Sherman Dr","","Yes"
"2-10-8","29 FLEMMING DR - 29 Flemming Dr","","Yes"
"21-1-12","18 UNDERHILL PL - 18 Underhill Pl","","Yes"
"21-1-26","70 FULLERTON AVE - 70 Fullerton Ave","","Yes"
"21-1-4","373 THIRD ST - 373 Third St","","Yes"
"21-4-8","78 PROSPECT ST - 78 Prospect St","","Yes"
"22-1-10","269 THIRD ST - 269 Third St","","Yes"
"22-1-17","251 THIRD ST - 251 Third St","","Yes"
"22-1-19","93 CARPENTER AVE - 93 Carpenter Ave","","Yes"
"22-1-22","85 CARPENTER AVE - 85 Carpenter Ave","","Yes"
"22-1-27","74 CARTER ST - 74 Carter St","","Yes"
"22-1-3","287 THIRD ST - 287 Third St","","Yes"
"22-1-37","96 CARTER ST - 96 Carter St","","Yes"
"22-2-1","243 THIRD ST - 243 Third St","","Yes"
"22-2-10","223 THIRD ST - 223 Third St","","Yes"
"22-2-11","221 THIRD ST - 221 Third St","","Yes"
"22-2-15","213 THIRD ST - 213 Third St","","Yes"
"22-2-7","229 THIRD ST - 229 Third St","","Yes"
"22-2-8","227 THIRD ST - 227 Third St","","Yes"
"22-2-9","225 THIRD ST - 225 Third St","","Yes"
"22-3-15","84 CITY TER - 84 City Ter","","Yes"
"22-3-17","90 CITY TER - 90 City Ter","","Yes"
"22-5-10","31 CARTER ST - 31 Carter St","","Yes"
"22-5-21","234 FIRST ST - 234 First St","","Yes"
"22-5-22","236 FIRST ST - 236 First St","","Yes"
"22-5-23","238-240 FIRST ST - 238-240 First St","","Yes"
"22-5-25","244 FIRST ST - 244 First St","","Yes"
"22-5-32","258 FIRST ST - 258 First St","","Yes"
